;Code;Désignation courte;Famille;Prix de vente HT;Prix de vente TTC;Stock théorique;Stock réel;Qté en cde client;Qté en cde fournisseur;Bloqué;Compte Vente Local;Désignation longue;Code TVA;Bloqué
14;ART2486; Lenovo 45W AC Adapter ;FA0014;89,00  EUR;106,80  EUR;-5,000;-4,000;1,000;;;707101; Lenovo 45W AC Adapter , Garantie 2 ans ;3;
15;ART1727; Mémoire vive, 16 Go,DIMM;FA0009;199,00  EUR;238,80  EUR;-20,000;-25,000;1,000;6,000;;707101;HP, Mémoire vive 16 Go, DDR4 SDRAM, Format DIMM 288 broches, Vitesse 2933 MHz (PC4- 23400), Non ECC, Mémoire enregistré, Tension 1.2 V ;3;
16;ART2245; Mémoire vive, 8 Go,DIMM,2666 MHz;FA0009;139,00  EUR;166,80  EUR;2,000;;;2,000;;707101;HP, Mémoire vive 8 Go, DDR4 SDRAM, Format DIMM 288 broches, Vitesse 2666 MHz (PC4-21300), ECC, Mémoire enregistré, Tension 1.2 V ;3;
17;ART1217; Mémoire vive, 8 Go,UDIMM, 2133 MHz;FA0009;195,50  EUR;234,60  EUR;;;;;;707101;HP, Mémoire vive 8 Go, DDR4 SDRAM, Format UDIMM 288 broches, Vitesse 2133 MHz (PC4- 17000), Non ECC, Mémoire sans tampon, Tension 1.2 V ;3;
18;ART1593; Multiprise 5 prises;FA0012;16,90  EUR;20,28  EUR;-1,000;-17,000;;16,000;;707103;Multiprise de 5 prises avec interrupteur et câble, 1,5m, Garantie 1 an;3;
19;ART2237; Multiprise 6 prises;FA0012;19,99  EUR;23,99  EUR;;-2,000;;2,000;;707103;Multiprise de 6 prises avec interrupteur et câble, 1 m;3;
20;ART2023; PNY CARTE GRAPH.GeForce GT 710 2Go;FA0010;53,45  EUR;64,14  EUR;1,000;;;1,000;;707101;PNY GeForce - Carte graphique - GF GT 710 - 2 Go DDR3 - PCIe 2.0 x8 faible encombrement - DVI, D-Sub, HDMI - Garantie 2 ansarantie 2 ans;3;
21;ART1774; Solution Exchange 2019 300Go;FA0003;10,40  EUR;12,48  EUR;;;;;;706201;Solution de messagerie collaborative Exchange  300 Go / boite mails  (Prix mensuel / Prélèvement trimestriel / Engagement 36 mois)  10,99 € / boite mail 5 boites mails = 52 €;4;
22;ART2510; Support pour ordinateur portable;FA0011;39,00  EUR;46,80  EUR;-6,000;-5,000;1,000;;;707101;"Support pour ordinateur portable - Compatible Lenovo Thinkpad 15.6"" - Couleur argent - Dimensions LxPxH 28.9 cm x 3.2 cm x 2.7 cm - Réglage de l'inclinaison, hauteur réglable, pliant - Garantie 5 ans ";3;
23;ART1336;1 Cassette supplémentaire;FA0017;;;;;;;;707401;Canon Socle 1 Cassette AJ1 1225/1325  Compatible avec le Cannon Multifonction laser couleur A4  Canon IRC356i III (ART1335) ;3;
24;ART1332;2 Cassettes supplémentaire;FA0017;;;;;;;;707401;Canon Socle 2 Cassettes AP1 C35xx  Compatible avec le Cannon Multifonction laser couleur A3 (ART1331);3;
25;ART1790;"3M, Filtre de confidentialité 13,3""";FA0013;49,90  EUR;59,88  EUR;;;;;;707101;"3M, Filtre de confidentialité pour ordinateur portable 13,3"", Couleur or, Garantie 1 an";3;
26;ART1791;"3M, Filtre de confidentialité 14""";FA0013;59,00  EUR;70,80  EUR;;-11,000;;11,000;;707101;"3M, Filtre de confidentialité pour ordinateur portable 14"", Couleur or, Garantie 1 an";3;
27;ART1792;"3M, Filtre de confidentialité 15,6""";FA0013;59,00  EUR;70,80  EUR;;;;;;707101;"3M, Filtre de confidentialité pour ordinateur portable 15,6"", Couleur or, Garantie 1 an";3;
28;ART1793;"3M, Filtre de confidentialité 17,3""";FA0013;59,00  EUR;70,80  EUR;;;;;;707101;"3M, Filtre de confidentialité pour ordinateur portable 17,3"", Couleur noir, Garantie 1 an";3;
29;ART1794;"3M, Filtre de confidentialité 23,8""";FA0013;119,00  EUR;142,80  EUR;;;;;;707101;"3M, Filtre de confidentialité pour ordinateur portable 23,8"", Couleur or, Garantie 1 an";3;
30;ART1795;"3M, Filtre de confidentialité 24""";FA0013;119,00  EUR;142,80  EUR;;-1,000;;1,000;;707101;"3M, Filtre de confidentialité pour ordinateur portable 24"", Couleur or, Garantie 1 an";3;
31;ART1238;Abonnement - numéro surtaxé;FA0007;4,90  EUR;5,88  EUR;;;;;;706403;Abonnement - Numéro surtaxé en 0 82  - Large choix parmi une liste de numéros proposés - Large choix de paliers tarifaires appliqués (à la minute ou par appel)  (Prix mensuel / Prélèvement mensuel / Engagement 12 mois);4;
32;ART0247;Abonnement Adresse IP publique;;9,90  EUR;11,88  EUR;;;;;;706403;Abonnement Adresses IP publique;4;
33;ART1094;Abonnement Clé 4G - 30 Go;FA0007;;;;;;;;706403;Abonnement clé 4G - 30 Go  (Prix mensuel / Prélèvement trimestriel / Engagement 12 mois)  Prix suivant le forfait attribué;4;
34;ART0821;Abonnement d'appels simultanés;FA0007;3,00  EUR;3,60  EUR;;;;;;706403;Abonnement d'appels simultanés supplémentaire  (Prix mensuel / Prélèvement mensuel/ Engagement 12 mois);4;
35;ART0916;Abonnement Fax to mail;FA0007;9,90  EUR;11,88  EUR;;;;;;706403;Abonnement ligne fax to mail  (Prix mensuel / Prélèvement trimestriel / Engagement 12 mois) Coût envoi des fax 0.09€ HT / page ou 0.045€ HT / min;4;
36;ART1188;Abonnement Fibre orange mutualisé;FA0007;79,00  EUR;94,80  EUR;;;;;;706403;Abonnement Fibre Orange mutualisé  garantie 100 mb/s symétrique le support s'effectue via Astorya mais en lien avec Orange  (Prix mensuel / Prélèvement mensuel / Engagement 36 mois);4;
37;ART0491;Abonnement fixe et mobile;FA0007;20,90  EUR;25,08  EUR;;;;;;706403;Abonnement mensuel ligne téléphonique - illimité fixe et mobile + 40 destinations :  - Inclus vers 99 numéros différents par ligne et par mois - Inclus vers 40 destinations  - 2 appels simultanés par abonnement - Dans la limite de 60 min / appel - Hors numéros spéciaux - Hhors redirection vers des lignes extérieurs au parc - Tarification au delà vers fixe :0.03€ HT/min - vers mobile : 0.12€ HT/min - redirection : 0.045€ HT/min  (Prix mensuel / Prélèvement mensuel / Engagement 36 mois);4;
38;ART0879;Abonnement gestion service cloud;FA0003;2,99  EUR;3,59  EUR;;;;;;706102;Frais de gestion et technique du compte abonnement cloud  Office 365  (Prix : 2,99€HT / Mois / Licences / Prélèvement mensuel / Engagement 12 mois);4;
39;ART0494;Abonnement illimité vers fixe;FA0007;9,90  EUR;11,88  EUR;;;;;;706403;Abonnement mensuel ligne téléphonique - illimité vers les fixes France + 40 destinations :  - Inclus vers 99 numéros différents par ligne et par mois - Inclus vers 40 destinations  - 2 appels simultanés par abonnement - Dans la limite de 60 min / appel - Hors numéros spéciaux - Hors redirection vers des lignes extérieurs au parc - Tarification au delà vers fixe :0.03€ HT/min - vers mobile : 0.12€ HT/min - redirection : 0.045€ HT/min  (Prix mensuel / Prélèvement mensuel / Engagement 12 mois);4;
40;ART0099;Abonnement Licence VPN;FA0002;9,00  EUR;10,80  EUR;-582,000;-579,000;3,000;;;706201;Abonnement Licence VPN  (Prix mensuel / Prélèvement trimestriel / engagement 36 mois);4;
41;ART0121;Abonnement ligne ADSL;FA0007;49,00  EUR;58,80  EUR;;;;;;706403;Abonnement ligne ADSL  (Prix mensuel / Prélèvement mensuel / Engagement 12 mois);4;
42;ART0842;Abonnement ligne fax analogique;FA0007;24,90  EUR;29,88  EUR;;;;;;706403;Abonnement ligne fax analogique  (Prix mensuel / Prélèvement trimestriel / Engagement 12 mois) Coût envoi des fax 0.09€ HT / page ou 0.045€ HT / min;4;
43;ART1138;Abonnement ligne fax numérique;FA0007;9,90  EUR;11,88  EUR;;;;;;706403;Abonnement ligne fax numérique  (Prix mensuel / Prélèvement trimestriel / Engagement 12 mois) ;4;
44;ART0258;Abonnement numéro SDA;FA0007;1,20  EUR;1,44  EUR;;;;;;706403;Abonnement de numéro SDA (sélection directe à l'arrivée)  (Prix mensuel / Prélèvement trimestriel / Engagement 12 mois)  Une fois l'engagement terminé, le renouvellement des licences sera reconduit automatiquement annuellement ;4;
45;ART1992;Abonnement Overthebox;FA0007;24,90  EUR;29,88  EUR;;;;;;706403;Abonnement Overthebox Boitier pour l'agrégation de liens  (Prix mensuel / Prélèvement mensuel / Engagement 12  mois);4;
46;ART0246;Abonnement Pack SMS;FA0007;;;;;;;;706403;Abonnement Pack SMS via Outlook 0.12€ HT/SMS  (Prix mensuel / Prélèvement trimestriel / Engagement 12 mois) Prix en fonction du volume d'SMS;4;
47;ART1237;Abonnement Premium - numéro surtaxé;FA0007;9,90  EUR;11,88  EUR;;;;;;706403;Abonnement Premium - Numéro surtaxé en 0 82  - Large choix parmi une liste de numéros simples à mémoriser - Large choix de paliers tarifaires appliqués (à la minute ou par appel)  (Prix mensuel / Prélèvement mensuel / Engagement 12 mois);4;
48;ART2973;Abonnement ReMarkable;FA0003;5,99  EUR;7,19  EUR;;;;;;707304;Abonnement ReMarkable Connect  - Ecriture, lecture, annotation des documents, ajout de livres, documents (pdf, epub) sur votre tablette, avoir des calques  - Accès aux documents via le cloud, les apps officielles etc.   - Stockage illimité sur le cloud (càd tout document non ouvert depuis 50 jours sera quand même synchronisé avec le cloud)  - Accès à Google Drive & Dropbox  - Conversion de texte manuscrit en texte dactylographié  - Screen Share : partager l’écran de reMarkable 2 en direct  - Envoi de documents par mail  (Prix mensuel - Prélèvement trimestriel - Engagement 36 mois)  Une fois l'engagement terminé, le renouvellement des licences sera reconduit automatiquement annuellement  ;3;
49;ART0435;Abonnement SDSL 2Mo ;FA0007;139,00  EUR;166,80  EUR;;;;;;706403;Abonnement lien SDSL professionnel - débit symétrique 2Mo Garantie Temps de Rétablissement : 4 heures ouvrés  (Prix mensuel / Prélèvement mensuel / Engagement 12 mois);4;
50;ART0436;Abonnement SDSL 4Mo ;FA0007;189,00  EUR;226,80  EUR;;;;;;706403;Abonnement lien SDSL professionnel - débit symétrique 4Mo Garantie Temps de Rétablissement : 4 heures ouvrés  (Prix mensuel / Prélèvement mensuel / Engagement 12 mois);4;
51;ART1299;Abonnement SDSL 8Mo ;FA0007;139,00  EUR;166,80  EUR;;;;;;706403;Abonnement lien SDSL professionnel - débit symétrique 8Mo Garantie Temps de Rétablissement : 4 heures ouvrés  (Prix mensuel / Prélèvement mensuel / Engagement 12 mois);4;
52;ART1515;Abonnement SIP DECT;FA0007;3,00  EUR;3,60  EUR;;;;;;706403;Abonnement téléphonie mensuel SIP DECT  (Prix mensuel / Prélèvement mensuel / Engagement 12 mois);4;
53;ART2194;Abonnement SIP TRUNK;FA0007;3,00  EUR;3,60  EUR;;;;;;706403;Abonnement téléphonie mensuel SIP TRUNK  (Prix mensuel / Prélèvement mensuel / Engagement 12 mois);4;
54;ART0540;Abonnement T0 Numéris en VGT;FA0007;64,99  EUR;77,99  EUR;;;;;;706403;Abonnement mensuel T0 Numéris  VGT+ (France Telecom) - nouvelle technologie anciennement VGA  - (2 appels simultanés)  VGT+ Ligne T0 numéris illimité France Fixes et Mobiles  Hors centre d’appels Pas de possibilité de mettre en place des renvois permanent L’utilisateur n’appelle pas plus de 400 numéros différents par mois par T0. Durée d’engagement 12 Mois Gestion du temps de rétablissement : 8h ouvrées  (Prix mensuel / Prélèvement mensuel / Engagement 12 mois);4;
55;ART0486;Abonnement Trunk X Canaux - F et M;FA0007;20,90  EUR;25,08  EUR;;;;;;706403;Abonnement mensuel Trunk 2 canaux - illimité vers n° Fixe et Mobile en France  Trunk 2 canaux Appel vers les fixes France : inclus Appel vers les portables France : inclus Appels Internationaux : voir Annexe Hors centre d’appels Hors n° spéciaux Pas de possibilité de mettre en place des renvois permanent L’utilisateur n’appelle pas plus de 400 numéros différents par mois par T0. Durée d’engagement 36 Mois Gestion du temps de rétablissement : 8h ouvrées  Attention l’augmentation des canaux se fera par deux  (Prix mensuel / Prélèvement mensuel / Engagement 36 mois)  Une fois l'engagement terminé, le renouvellement des licences sera reconduit automatiquement annuellement ;4;
56;ART2846;Abonnement Trunk X Canaux - F et M;FA0007;20,90  EUR;25,08  EUR;;;;;;706403;Abonnement mensuel Trunk X canaux - illimité vers n° Fixe et Mobile en France  Trunk X canaux Appel vers les fixes France : inclus Appel vers les portables France : inclus Hors centre d’appels Hors n° spéciaux Pas de possibilité de mettre en place des renvois permanent L’utilisateur n’appelle pas plus de 400 numéros différents par mois par T0. Durée d’engagement 12 Mois Gestion du temps de rétablissement : 8h ouvrées  Attention l’augmentation des canaux se fera par deux  (Prix mensuel - Prélèvement mensuel - Engagement 12 mois)  Une fois l'engagement terminé, le renouvellement des licences sera reconduit automatiquement annuellement ;4;
57;ART2847;Abonnement Trunk X Canaux - F et M;FA0007;20,90  EUR;25,08  EUR;;;;;;706403;Abonnement mensuel Trunk X canaux - illimité vers n° Fixe et Mobile en France  Trunk X canaux Appel vers les fixes France : inclus Appel vers les portables France : inclus Hors centre d’appels Hors n° spéciaux Pas de possibilité de mettre en place des renvois permanent L’utilisateur n’appelle pas plus de 400 numéros différents par mois par T0. Durée d’engagement 12 Mois Gestion du temps de rétablissement : 8h ouvrées  Attention l’augmentation des canaux se fera par deux  (Prix mensuel - Prélèvement trimestriel - Engagement 12 mois)  Une fois l'engagement terminé, le renouvellement des licences sera reconduit automatiquement annuellement ;4;
58;ART2848;Abonnement Trunk X Canaux - F et M;FA0007;15,90  EUR;19,08  EUR;;;;;;706403;Abonnement mensuel Trunk 1 canal - illimité vers n° Fixe et Mobile en France  Trunk 1 canal Appel vers les fixes France : inclus Appel vers les portables France : inclus Appels Internationaux : voir Annexe Hors centre d’appels Hors n°spéciaux Pas de possibilité de mettre en place des renvois permanent L’utilisateur n’appelle pas plus de 400 numéros différents par mois par canal. Durée d’engagement 36 Mois Gestion du temps de rétablissement : 8h ouvrées  (Prix mensuel - Prélèvement mensuel - Engagement 12 mois)  Une fois l'engagement terminé, le renouvellement des licences sera reconduit automatiquement annuellement;4;
59;ART0485;Abonnement Trunk X Canaux - ill Fix;FA0007;14,90  EUR;17,88  EUR;;;;;;706403;Abonnement mensuel Trunk X canaux - illimité vers n° Fixe en France  Trunk X canaux Appel vers les fixes France : inclus Appel vers les portables France : 0.012 € / min Appels Internationaux : voir Annexe Hors centre d’appels Pas de possibilité de mettre en place des renvois permanent L’utilisateur n’appelle pas plus de 400 numéros différents par mois par T0. Durée d’engagement 12 Mois Gestion du temps de rétablissement : 8h ouvrées  (Prix mensuel / Prélèvement mensuel / Engagement 12 mois);4;
60;ART0233;Abonnement VDSL;FA0007;199,00  EUR;238,80  EUR;;;;;;706403;Abonnement VDSL   (Prix mensuel / Prélèvement mensuel / Engagement 36 mois);4;
61;ART0037;Abonnement Volume copies couleurs;FA0017;;;;;;;;706402;Forfait couleur  - Volume copies :   - Coût à la page :  (Volume mensuel / Prélèvement mensuel / Régularisation trimestrielle);4;
62;ART0038;Abonnement Volume copies noires;FA0017;;;;;;;;706402;Forfait noir  - Volume copies :  /mois  - Coût à la page : €ht/page/mois  (Volume mensuel / Prélèvement mensuel / Régularisation trimestrielle);4;
63;ART1183;Abonnement Xivo;FA0007;20,90  EUR;25,08  EUR;;;;;;706403;Abonnement téléphonie trunk 1 canal + abonnement téléphonie en illimité fixe et mobile :  - Abonnement illimite vers fixe et Abonnement illimite vers fixe mobile la redirection est facturé à la minute fixe 0.03€ et mobile 0.12€-   - Trunk renvoi permanent possible facturé à la minute fixe 0.03€ et mobile 0.12€   - L'utilisateur n’appelle pas au cours du mois plus de 300 numéros différents par canal  VGT : renvoi d’appel possible mais facturé à la seconde  (Prix mensuel / Prélèvement mensuel / Engagement 12 mois);4;
64;ART1509;Abt Fibreoptique pro garan 100mb/s;FA0007;89,00  EUR;106,80  EUR;;;;;;706403;Déploiement Fibre optique Pro avec lien de secours  Abonnement Fibre optique Pro FTTH débit jusqu'à 1 Gb/s  (Prix mensuel / Prélèvement mensuel / Engagement 36 mois)  Une fois l'engagement terminé, le renouvellement des licences sera reconduit automatiquement annuellement  Assistance: Abonnement lien back-up 4G illimité - Adresse IP identique au lien principal fibre Gestion de temps de rétablissement et bascule automatique sur le lien de secours ;4;
65;ART1466;Abt Fibreoptique pro garan 200mb/s;FA0007;469,00  EUR;562,80  EUR;;;;;;706403;Abonnement Fibre optique professionnel débit 1 Gb/s garantie 200 mb/s (Prix mensuel / Tarification mensuelle / Engagement 36 mois)  Assistance: Garantie temps de rétablissement de 4h et prêt d'une clé 4G le cas échéant  ajouter des frais BTP 149e à chaque fois ;4;
66;ART0218;Abt Fibreoptique pro garan 30mb/s;FA0007;169,00  EUR;202,80  EUR;;;;;;706403;Abonnement Fibre optique professionnel débit 1 Gb/s garantie 30 mb/s (Prix mensuel / Prélèvement mensuel / Engagement 36 mois)  Assistance: Garantie temps de rétablissement de 4h et prêt d'une clé 4G le cas échéant  ajouter des frais BTP 149e à chaque fois;4;
67;ART2747;Abt Lien internet Starlink;FA0007;89,00  EUR;106,80  EUR;;;;;;706403;Abonnement lien internet par satellite Débit moyen théorique en télécahrgement : 100 Mb/s (Prix mensuel / Facturation mensuelle / Engagement 36 mois)  Assistance: Garantie gestion du temps de rétablissement de 4h et prêt d'une clé 4G le cas échéant ;4;
68;ART2336;Accessoires CANON;FA0027;;;-2,000;-2,000;;;;707401;Accessoires;3;
69;ART3032;Acer - Station d'accueil USB C 135 ;;210,00  EUR;252,00  EUR;-7,000;-6,000;1,000;;;707101;Acer - Station d'accueil USB C 135 W, power delivery 1 x audio / vidéo - HDMI 2 x audio / vidéo - DisplayPort 1 x audio - casque/microphone - mini-phone 3,5 mm 1 x réseau - Ethernet 1000 - RJ-45 1 x USB 3.1 Gen 2 with Battery Charging 1.2 2 x USB 3.1 Gen 2 1 x USB-C 1 x USB-C avec livraison de puissance 85W;3;
70;ART1931;"Acer Aspire 3 A31, 17"",8Go,128ssd";FA0023;869,00  EUR;1042,80  EUR;-1,000;;1,000;;;707101;"ASUS , Poste portable, Ecran LED 17,3"", Résolution Full HD 1920 x 1080, Anti-éblouissement, Processeur Intel Core i5 / 1.6 GHz  (Turbo 4.2 GHz), 4 coeurs, RAM 8 Go, Disque dur 128 Go SSD, Carte graphique NVIDIA GeForce MX230, Interfaces HDMI, 2 x USB 2.0, USB 3.0, LAN, Prise combo casque/microphone, Bluetooth,802.11a/b/g/n/ac, Audio haut-parleurs stéréo, microphone, Windows 10 Pro, Clavier, Caméra, Dimensions (LxPxH)41,95 x 28,95 x 2,47 cm, Poids 2.8 kg, Garantie 1 an  Information pour nous :  Accessoires inclus : Adaptateur secteur";3;
71;ART2660;"Acer Aspire 5 A ,17"",16go, 512ssd";FA0023;1049,00  EUR;1258,80  EUR;-24,000;-24,000;;;;707101;Acer Aspire 5 A517-52G - Core i7 1165G7 - Win 10 Pro 64 bits - 16 Go RAM - 512 Go SSD QLC - 17.3 IPS 1920 x 1080 (Full HD) - GF MX450 - Wi-Fi 6 - Argent pur - clavier : Français Garantie 2 ans ;3;
72;ART2078;"Acer Aspire 5 Pro ,15"",8go,256ssd";FA0023;639,00  EUR;766,80  EUR;-12,000;-12,000;;;;707101;"ACER, Poste portable, Ecran LED 15,6"", Résolution Full HD 1920 x 1080 , Anti-éblouissement, Processeur Intel Core i3 Turbo 4,1 GHz, 2 coeurs, RAM 8 Go, Disque dur 256 Go SSD, Intel UHD Graphics, Interfaces HDMI, USB-C 3.2 Gen 1, USB 3.2 Gen 1, USB 3.2 Gen 1, USB 2.0, LAN, Prise combo casque/microphone, Bluetooth 5.0,802.11a/b/g/n/ac/ax, Audio haut-parleurs stéréo, deux microphones, Caméra, Clavier, Pavé tactile, Windows 10 Pro, Dimensions (LxPxH) 36.34 x 23.85 x 1.79 cm, Poids 1.9 kg, Garantie 2 ans   Information pour nous :  Accessoires inclus : Adaptateur secteur,Kit Disque dur";3;
73;ART2548;"Acer Aspire 5 Pro ,17"",16go,512ssd";FA0023;639,00  EUR;766,80  EUR;1,000;1,000;;;;707101;"Acer Aspire 5 Pro Series - Core i7 1165G7 / 2.8 GHz - Win 10 Pro 64 bits - GF MX350 - 16 Go RAM - 512 Go SSD QLC - 17.3"" IPS 1920 x 1080 (Full HD) - Wi-Fi 6 - Argent pur - clavier : Français Garantie 2 ans  ";3;
74;ART2126;"Acer Aspire 5 Pro ,17"",8go,256ssd";FA0023;719,00  EUR;862,80  EUR;;;;;;707101;"ACER, Poste portable, Ecran LED 17,3"", Résolution Full HD 1920 x 1080 , Anti-éblouissement, Processeur Intel Core i3 Turbo 4,1 GHz, 2 coeurs, RAM 8 Go, Disque dur 256 Go SSD, Intel UHD Graphics, Interfaces HDMI, USB-C 3.2 Gen 1, USB 3.2 Gen 1, USB 3.2 Gen 1, USB 2.0, LAN, Prise combo casque/microphone, Bluetooth 5.0,802.11a/b/g/n/ac/ax, Audio haut-parleurs stéréo,deux microphones, Caméra, Clavier, Pavé tactile, Windows 10 Pro, Dimensions (LxPxH) 40,35 x 26,37 x 2.08 cm, Poids 2.6 kg, Garantie 2 ans   Information pour nous :  Accessoires inclus : Adaptateur secteur, Kit Disque dur";3;
75;ART2185;"Acer Aspire 5 Pro ,17"",8go,256ssd";FA0023;785,00  EUR;942,00  EUR;-8,000;-8,000;1,000;1,000;;707101;"ACER, Poste portable, Ecran LED 17,3"", Résolution Full HD 1920 x 1080 , Anti-éblouissement, Processeur Intel Core I5 / 2,4 GHz (Turbo 4,2 GHz), 4 coeurs, RAM 8 Go, Disque dur 256 Go SSD, Carte graphique  Intel Iris Xe Graphics, Interfaces HDMI, USB-C 3.2 Gen 1, USB 3.2 Gen 1, USB 3.2 Gen 1, USB 2.0, LAN, Prise combo casque/microphone, Bluetooth 5.0,802.11a/b/g/n/ac/ax, Audio haut-parleurs stéréo, deux microphones Caméra, Clavier, Pavé tactile, Windows 10 Pro, Dimensions (LxPxH) 40,35 x 26,37 x 2.08 cm, Poids 2.6 kg, Garantie 2 ans   Information pour nous :  Accessoires inclus : Adaptateur secteur, Kit Disque dur";3;
76;ART2343;Acer Aspire TC-895 - tour - Core i5;;;;;;;;;707101;Acer Aspire TC-895 - tour - Core i5;3;
77;ART2531;Acer Extensa 15 EX215-54 - Core i3 ;FA0023;579,00  EUR;694,80  EUR;;;;;;707101;"Acer Extensa 15 EX215-54 - Core i3 1115G4 - Win 10 Pro 64 bits - 8 Go RAM - 256 Go SSD - 15.6"" IPS 1920 x 1080 (Full HD) - UHD Graphics - Wi-Fi 5 - noir charbon - clavier : Français Garantie 2 ans  ";3;
78;ART1601;"ACER Extensa 15 EX21,15"",4go,256ssd";FA0023;565,50  EUR;678,60  EUR;1,000;;;1,000;;707101;"ACER, Poste portable, Ecran LED 15.6"", Résolution HD 1366 x 768 , Anti-éblouissement, Processeur Intel Core i3 / 2.3 GHz, 2 coeurs, RAM 4 Go, Disque dur 256 Go SSD, Intel HD Graphics 620, Interfaces HDMI, USB 3.0, 2 x USB 2.0, LAN, Prise combo casque/microphone, Bluetooth,802.11a/b/g/n/ac, Audio haut-parleurs, Caméra, Clavier, Windows 10 Pro, Dimensions (LxPxH) 36.34 x 24.75  x 1.99 cm, Poids 1.9 kg, Garantie 2 ans   Information pour nous :  Accessoires inclus : Adaptateur secteur";3;
79;ART1637;Acer TravelMate P2;FA0023;579,00  EUR;694,80  EUR;-5,000;-11,000;;6,000;;707101;Acer TravelMate P2 TMP214-53-32LS - Core i3 1115G4 / 3 GHz - Win 10 Pro 64 bits - 8 Go RAM - 256 Go SSD - 14 IPS 1920 x 1080 (Full HD) - Iris Xe Graphics - Bluetooth, Wi-Fi - schiste noir - clavier : Français, Garantie 2 ans   ;3;
